url,nome,categoria,pagina,data_coleta
https://www.paodeacucar.com/produto/16777/leite-condensado-semidesnatado-moca-caixinha-395g,leite condensado semidesnatado moca caixinha 395g,Doces e Sobremesas,1,2025-06-22T03:17:05.958307
https://www.paodeacucar.com/produto/41146/creme-de-avela-com-cacau-nutella-pote-350g,creme de avela com cacau nutella pote 350g,Doces e Sobremesas,1,2025-06-22T03:17:05.958313
"https://www.paodeacucar.com/produto/1602899/bis-original-ao-leite-(wafer-recheado-e-com-cobertura-sabor-chocolate-ao-leite)-100,8g","bis original ao leite (wafer recheado e com cobertura sabor chocolate ao leite) 100,8g",Doces e Sobremesas,1,2025-06-22T03:17:05.958319
https://www.paodeacucar.com/produto/143696/creme-de-leite-piracanjuba-200g,creme de leite piracanjuba 200g,Doces e Sobremesas,1,2025-06-22T03:17:05.958325
"https://www.paodeacucar.com/produto/180880/chocolate-kitkat-4-fingers-ao-leite-41,5g","chocolate kitkat 4 fingers ao leite 41,5g",Doces e Sobremesas,1,2025-06-22T03:17:05.958331
https://www.paodeacucar.com/produto/64150/leite-de-coco-sococo-vidro-200ml,leite de coco sococo vidro 200ml,Doces e Sobremesas,1,2025-06-22T03:17:05.958336
https://www.paodeacucar.com/produto/1614984/chocolate-lacta-intense-amargo-70-cacau-original-85g,chocolate lacta intense amargo 70 cacau original 85g,Doces e Sobremesas,1,2025-06-22T03:17:05.958340
https://www.paodeacucar.com/produto/1568238/chocolate-ao-leite-extracremoso-hersheys-pacote-82g,chocolate ao leite extracremoso hersheys pacote 82g,Doces e Sobremesas,1,2025-06-22T03:17:05.958343
https://www.paodeacucar.com/produto/1568237/chocolate-meio-amargo-40-cacau-hersheys-pacote-82g,chocolate meio amargo 40 cacau hersheys pacote 82g,Doces e Sobremesas,1,2025-06-22T03:17:05.958346
https://www.paodeacucar.com/produto/581611/chocolate-suflair-ao-leite-80g,chocolate suflair ao leite 80g,Doces e Sobremesas,1,2025-06-22T03:17:05.958349
https://www.paodeacucar.com/produto/1568240/chocolate-ao-leite-com-ovomaltine-hersheys-pacote-77g,chocolate ao leite com ovomaltine hersheys pacote 77g,Doces e Sobremesas,1,2025-06-22T03:17:05.958352
"https://www.paodeacucar.com/produto/1602893/bis-branco-(wafer-recheado-e-com-cobertura-sabor-chocolate-branco)-100,8g","bis branco (wafer recheado e com cobertura sabor chocolate branco) 100,8g",Doces e Sobremesas,1,2025-06-22T03:17:05.958354
https://www.paodeacucar.com/produto/144659/fermento-em-po-royal-pote-100g,fermento em po royal pote 100g,Doces e Sobremesas,1,2025-06-22T03:17:05.958357
https://www.paodeacucar.com/produto/290642/twix-caramelo-80g,twix caramelo 80g,Doces e Sobremesas,1,2025-06-22T03:17:05.958360
https://www.paodeacucar.com/produto/1529610/chocolate-lacta-ao-leite-80g,chocolate lacta ao leite 80g,Doces e Sobremesas,1,2025-06-22T03:17:05.958363
https://www.paodeacucar.com/produto/110223/caixa-de-bombons-chocolate-lindt-lindor-ao-leite-200g,caixa de bombons chocolate lindt lindor ao leite 200g,Doces e Sobremesas,1,2025-06-22T03:17:05.958366
https://www.paodeacucar.com/produto/1340703/chocolate-nestle-classic-ao-leite-150g,chocolate nestle classic ao leite 150g,Doces e Sobremesas,1,2025-06-22T03:17:05.958369
https://www.paodeacucar.com/produto/13363/caixa-de-bombons-chocolate-lindt-lindor-sortidos-200g,caixa de bombons chocolate lindt lindor sortidos 200g,Doces e Sobremesas,1,2025-06-22T03:17:05.958371
https://www.paodeacucar.com/produto/1462261/chocolate-crunch-tablete-80g,chocolate crunch tablete 80g,Doces e Sobremesas,1,2025-06-22T03:17:05.958374
